YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,INVOLVED,RELATED,Neighbourh
2015,2015-10-04 4:00:00 AM,910,9,THE KINGSWAY,ANGLESEY BLVD,,COLLECTOR,ETOBICOKE YORK,43.663966,-79.521785,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,"CYCLIST,AUTOMOBILE",,Edenbridge-Humber Valley (9)
2015,2015-10-04 4:00:00 AM,910,9,THE KINGSWAY,ANGLESEY BLVD,,COLLECTOR,ETOBICOKE YORK,43.663966,-79.521785,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,30 to 34,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Edenbridge-Humber Valley (9)
2016,2016-07-12 4:00:00 AM,910,9,AVENUE RD,CHAPLIN CRES,58 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.698767,-79.406146,INTERSECTION,NON INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,"CYCLIST,AUTOMOBILE",,Yonge-Eglinton (100)
2016,2016-09-02 4:00:00 AM,1630,16,LONSDALE RD,ORIOLE RD,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.691004,-79.401546,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,Yonge-St.Clair (97)
2016,2016-07-12 4:00:00 AM,910,9,AVENUE RD,CHAPLIN CRES,58 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.698767,-79.406146,INTERSECTION,NON INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,50 to 54,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Yonge-Eglinton (100)
2015,2015-12-22 5:00:00 AM,911,9,SHERBOURNE ST,CARLTON ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.663119,-79.373019,INTERSECTION,AT INTERSECTION,TRAFFIC CONTROLLER,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,TRUCK DRIVER,30 to 34,NONE,NORTH,"TRUCK - CLOSED (BLAZER, ETC)",TURNING LEFT,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,"CYCLIST,TRUCK",AGGRESIVE AND DISTRACTED,Moss Park (73)
2015,2015-12-22 5:00:00 AM,911,9,SHERBOURNE ST,CARLTON ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.663119,-79.373019,INTERSECTION,AT INTERSECTION,TRAFFIC CONTROLLER,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,55 to 59,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,"CYCLIST,TRUCK",AGGRESIVE AND DISTRACTED,Moss Park (73)
2010,2010-04-29 4:00:00 AM,916,9,SANDHURST CRCL,MCCOWAN RD,,MAJOR ARTERIAL,SCARBOROUGH,43.811645,-79.26919,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,60 to 64,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING RIGHT,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Agincourt North (129)
2010,2010-04-29 4:00:00 AM,916,9,SANDHURST CRCL,MCCOWAN RD,,MAJOR ARTERIAL,SCARBOROUGH,43.811645,-79.26919,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,Motorist turning right on red at signalized intersection strikes cyclist.,Other,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Agincourt North (129)
2015,2015-08-11 4:00:00 AM,920,9,ANNETTE ST,KEELE ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.663642,-79.463794,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,TRUCK DRIVER,65 to 69,NONE,WEST,TRUCK - OPEN,TURNING RIGHT,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,TRUCK",,Junction Area (90)
2015,2015-08-11 4:00:00 AM,920,9,ANNETTE ST,KEELE ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.663642,-79.463794,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,55 to 59,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,"CYCLIST,TRUCK",,Junction Area (90)
2011,2011-06-24 4:00:00 AM,930,9,JAMESON AVEN,SPRINGHURST AVEN,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.633945,-79.43479,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,South Parkdale (85)
2011,2011-06-24 4:00:00 AM,930,9,JAMESON AVEN,SPRINGHURST AVEN,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.633945,-79.43479,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,30 to 34,NONE,SOUTH,MUNICIPAL TRANSIT BUS (TTC),GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,South Parkdale (85)
2011,2011-06-24 4:00:00 AM,930,9,JAMESON AVEN,SPRINGHURST AVEN,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.633945,-79.43479,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,40 to 44,MAJOR,NORTH,BICYCLE,TURNING LEFT,,,,,,Cyclist turns right across motorists path,Improper Turn,Inattentive,"CYCLIST, TRANSIT/CITY VEHICLE",,South Parkdale (85)
2013,2013-11-20 5:00:00 AM,937,9,SHEPPARD AVE W,KODIAK CRES,,MAJOR ARTERIAL,NORTH YORK,43.751868,-79.467212,INTERSECTION,,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,CYCLIST,20 to 24,FATAL,WEST,BICYCLE,GOING AHEAD,,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED,REDLIGHT",Downsview-Roding-CFB (26)
2013,2013-11-20 5:00:00 AM,937,9,SHEPPARD AVE W,KODIAK CRES,,MAJOR ARTERIAL,NORTH YORK,43.751868,-79.467212,INTERSECTION,,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,DRIVER,20 to 24,,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DISOBEYED TRAFFIC CONTROL,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED,REDLIGHT",Downsview-Roding-CFB (26)
2010,2010-09-10 4:00:00 AM,940,9,2600 LESLIE ST,,,EXPRESSWAY,NORTH YORK,43.762645,-79.36199,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist loses control and strikes object (pole, ttc track)",Driving Properly,Normal,CYCLIST,,St.Andrew-Windfields (40)
2008,2008-06-12 4:00:00 AM,945,9,AVENUE ROAD,BLOOR STRE W,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.668745,-79.39409,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,35 to 39,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Annex (95)
2008,2008-06-12 4:00:00 AM,945,9,AVENUE ROAD,BLOOR STRE W,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.668745,-79.39409,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,EAST,BICYCLE,CHANGING LANES,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,"CYCLIST,AUTOMOBILE",,Annex (95)
2013,2013-07-08 4:00:00 AM,945,9,SUTHERLAND DR,MCRAE DR,,COLLECTOR,NORTH YORK,43.708598,-79.365428,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,WEST,,GOING AHEAD,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,CYCLIST,AGGRESIVE AND DISTRACTED,Leaside-Bennington (56)
2013,2013-07-08 4:00:00 AM,945,9,SUTHERLAND DR,MCRAE DR,,COLLECTOR,NORTH YORK,43.708598,-79.365428,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,CYCLIST,AGGRESIVE AND DISTRACTED,Leaside-Bennington (56)
2011,2011-08-31 4:00:00 AM,946,9,DUNDAS ST W,KEELE ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665345,-79.46459,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,TRUCK DRIVER,60 to 64,NONE,WEST,TRUCK - OPEN,TURNING RIGHT,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,TRUCK",,Junction Area (90)
2011,2011-08-31 4:00:00 AM,946,9,DUNDAS ST W,KEELE ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665345,-79.46459,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,TRUCK",,Junction Area (90)
2011,2011-08-31 4:00:00 AM,946,9,DUNDAS ST W,KEELE ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665345,-79.46459,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,70 to 74,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,"CYCLIST,TRUCK",,Junction Area (90)
2013,2013-05-07 4:00:00 AM,948,9,WOODBINE AVE,MORTIMER AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.692645,-79.315791,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Woodbine-Lumsden (60)
2013,2013-05-07 4:00:00 AM,948,9,WOODBINE AVE,MORTIMER AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.692645,-79.315791,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,SOUTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Woodbine-Lumsden (60)
2013,2013-05-07 4:00:00 AM,948,9,WOODBINE AVE,MORTIMER AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.692645,-79.315791,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist loses control and strikes object (pole, ttc track)",Lost control,Normal,"CYCLIST,AUTOMOBILE",,Woodbine-Lumsden (60)
2011,2011-12-15 5:00:00 AM,950,9,ADELAIDE ST W,BAY ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649845,-79.38079,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Bay Street Corridor (76)
2011,2011-12-15 5:00:00 AM,950,9,ADELAIDE ST W,BAY ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649845,-79.38079,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Bay Street Corridor (76)
2011,2011-12-15 5:00:00 AM,950,9,ADELAIDE ST W,BAY ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649845,-79.38079,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,RAIN,DAYLIGHT,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,40 to 44,MAJOR,EAST,BICYCLE,MERGING,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Lost control,Inattentive,"CYCLIST,AUTOMOBILE",,Bay Street Corridor (76)
2012,2012-11-23 5:00:00 AM,643,6,DAVENPORT RD,LANSDOWNE AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.671546,-79.448291,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,FATAL,CYCLIST COLLISIONS,DRIVER,20 to 24,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE","AGGRESIVE AND DISTRACTED,REDLIGHT",Dovercourt-Wallace Emerson-Junction (93)
2014,2014-05-05 4:00:00 AM,644,6,WOODBINE AVE,MERRILL AVE E,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.683406,-79.311847,INTERSECTION,INTERSECTION RELATED,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,25 to 29,NONE,EAST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Woodbine Corridor (64)
2016,2016-09-02 4:00:00 AM,1630,16,LONSDALE RD,ORIOLE RD,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.691004,-79.401546,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Yonge-St.Clair (97)
2014,2014-05-05 4:00:00 AM,644,6,WOODBINE AVE,MERRILL AVE E,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.683406,-79.311847,INTERSECTION,INTERSECTION RELATED,STOP SIGN,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,25 to 29,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",AGGRESIVE AND DISTRACTED,Woodbine Corridor (64)
2018,2018-10-12 4:00:00 AM,1630,16,BLOOR ST W,RUNNYMEDE RD,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651065,-79.47626,INTERSECTION,AT INTERSECTION,TRAFFIC CONTROLLER,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,75 to 79,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,FAILED TO YIELD RIGHT OF WAY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,High Park-Swansea (87)
2018,2018-10-12 4:00:00 AM,1630,16,BLOOR ST W,RUNNYMEDE RD,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.651065,-79.47626,INTERSECTION,AT INTERSECTION,TRAFFIC CONTROLLER,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,High Park-Swansea (87)
2013,2013-09-18 4:00:00 AM,1634,16,LAKE SHORE BLVD W,DWIGHT AVE,,MAJOR ARTERIAL,ETOBICOKE YORK,43.602343,-79.497989,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,PASSENGER,unknown,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,New Toronto (18)
2013,2013-09-18 4:00:00 AM,1634,16,LAKE SHORE BLVD W,DWIGHT AVE,,MAJOR ARTERIAL,ETOBICOKE YORK,43.602343,-79.497989,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,DRIVER,60 to 64,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,New Toronto (18)
2013,2013-09-18 4:00:00 AM,1634,16,LAKE SHORE BLVD W,DWIGHT AVE,,MAJOR ARTERIAL,ETOBICOKE YORK,43.602343,-79.497989,INTERSECTION,,NO CONTROL,CLEAR,DAYLIGHT,DRY,FATAL,CYCLIST COLLISIONS,CYCLIST,50 to 54,FATAL,WEST,BICYCLE,UNKNOWN,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Lost control,Unknown,"CYCLIST,AUTOMOBILE,PASSENGER",,New Toronto (18)
2017,2017-08-21 4:00:00 AM,1634,16,SPADINA CRES,RUSSELL ST,30 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659789,-79.399905,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,35 to 39,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Unknown,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED",University (79)
2017,2017-08-21 4:00:00 AM,1634,16,SPADINA CRES,RUSSELL ST,30 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659789,-79.399905,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,25 to 29,NONE,NORTH,DELIVERY VAN,GOING AHEAD,OTHER,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED",University (79)
2010,2010-12-21 5:00:00 AM,1639,16,DANFORTH AVE,BROADVIEW AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.676145,-79.35889,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2010,2010-12-21 5:00:00 AM,1639,16,DANFORTH AVE,BROADVIEW AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.676145,-79.35889,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,30 to 34,NONE,EAST,"AUTOMOBILE, STATION WAGON",PULLING ONTO SHOULDER OR TOWARDCURB,IMPROPER LANE CHANGE,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2010,2010-12-21 5:00:00 AM,1639,16,DANFORTH AVE,BROADVIEW AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.676145,-79.35889,MID-BLOCK,,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,55 to 59,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,North Riverdale (68)
2013,2013-08-13 4:00:00 AM,1639,16,ST CLAIR AVE W,DUFFERIN ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.677951,-79.443073,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,,,,,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,Corso Italia-Davenport (92)
2013,2013-08-13 4:00:00 AM,1639,16,ST CLAIR AVE W,DUFFERIN ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.677951,-79.443073,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,30 to 34,NONE,WEST,STREET CAR,GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,Corso Italia-Davenport (92)
2013,2013-08-13 4:00:00 AM,1639,16,ST CLAIR AVE W,DUFFERIN ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.677951,-79.443073,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,55 to 59,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,"CYCLIST, TRANSIT/CITY VEHICLE",,Corso Italia-Davenport (92)
2010,2010-09-02 4:00:00 AM,1640,16,COLLEGE ST,GLADSTONE AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.652845,-79.43109,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Little Portugal (84)
2010,2010-09-02 4:00:00 AM,1640,16,COLLEGE ST,GLADSTONE AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.652845,-79.43109,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Other,Normal,"CYCLIST,AUTOMOBILE",,Little Portugal (84)
2011,2011-08-16 4:00:00 AM,1640,16,BLUE JAYS WAY,NAVY WHARF CRT,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.641745,-79.39189,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,unknown,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,FAILED TO YIELD RIGHT OF WAY,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Waterfront Communities-The Island (77)
2011,2011-08-16 4:00:00 AM,1640,16,BLUE JAYS WAY,NAVY WHARF CRT,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.641745,-79.39189,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,WEST,BICYCLE,TURNING LEFT,,,,,,Cyclist turned left across motorists path.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Waterfront Communities-The Island (77)
2016,2016-07-29 4:00:00 AM,1645,16,JANE ST,SHOREHAM DR,121 m North of,MAJOR ARTERIAL,ETOBICOKE YORK,43.769675,-79.52058,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DAYLIGHT,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,NONE,EAST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Inattentive,"CYCLIST,AUTOMOBILE",,Black Creek (24)
